기간	자치구	동	합계	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 취득한 자	외국인주민 자녀
기간	자치구	동	합계	소계	외국인근로자	결혼이민자	유학생	외국국적동포	기타외국인	한국국적을 취득한 자	외국인주민 자녀
2020	합계	합계	443,262	366,454	63,526	31,661	46,925	102,828	121,514	43,769	33,039
2020	종로구	소계	12,610	11,573	1,157	628	4,232	1,798	3,758	532	505
2020	종로구	사직동	418	361	45	48	13	115	140	25	32
2020	종로구	삼청동	112	96	12	8	*	26	49	7	9
2020	종로구	부암동	458	421	48	33	136	58	146	15	22
2020	종로구	평창동	429	350	48	66	*	131	102	18	61
2020	종로구	무악동	102	69	*	17	*	24	24	11	22
2020	종로구	교남동	326	273	24	39	5	72	133	18	35
2020	종로구	가회동	146	118	5	23	8	29	53	12	16
2020	종로구	종로1.2.3.4가동	753	713	135	30	156	89	303	15	25
2020	종로구	종로5·6가동	614	574	46	28	268	76	156	21	19
2020	종로구	이화동	774	722	30	24	375	55	238	26	26
2020	종로구	창신1동	1,283	1,206	201	55	313	273	364	54	23
2020	종로구	창신2동	1,874	1,699	293	77	493	376	460	123	52
2020	종로구	창신3동	319	272	23	22	94	42	91	26	21
2020	종로구	숭인1동	527	457	69	31	75	118	164	43	27
2020	종로구	숭인2동	838	727	98	58	172	173	226	67	44
2020	종로구	청운효자동	204	169	16	27	*	50	73	9	26
2020	종로구	혜화동	3,433	3,346	60	42	2,117	91	1,036	42	45
2020	중구	소계	12,733	11,492	1,501	649	2,395	2,486	4,461	682	559
2020	중구	소공동	408	387	47	15	19	33	273	8	13
2020	중구	회현동	629	558	59	41	19	118	321	40	31
2020	중구	명동	500	459	68	22	52	67	250	24	17
2020	중구	필동	969	940	45	23	496	41	335	14	15
2020	중구	장충동	1,136	1,094	105	23	433	171	362	24	18
2020	중구	광희동	1,693	1,649	264	38	296	320	731	30	14
2020	중구	을지로동	189	180	34	*	34	33	76	6	*
2020	중구	신당5동	706	551	86	59	80	171	155	94	61
2020	중구	황학동	1,587	1,397	226	90	169	441	471	116	74
2020	중구	중림동	468	381	29	45	16	81	210	43	44
2020	중구	신당동	2,336	2,173	366	71	519	588	629	117	46
2020	중구	다산동	877	763	73	71	163	143	313	58	56
2020	중구	약수동	477	360	39	70	15	118	118	37	80
2020	중구	청구동	386	324	32	48	59	70	115	31	31
2020	중구	동화동	372	276	28	30	25	91	102	40	56
2020	용산구	소계	19,105	17,280	1,966	1,337	835	2,881	10,261	712	1,113
2020	용산구	후암동	835	697	138	92	31	207	229	74	64
2020	용산구	용산2가동	1,449	1,341	325	92	139	117	668	44	64
2020	용산구	남영동	690	646	113	36	70	146	281	24	20
2020	용산구	원효로2동	256	191	34	35	*	48	72	32	33
2020	용산구	효창동	194	137	13	30	11	28	55	22	35
2020	용산구	용문동	234	175	25	36	6	58	50	19	40
2020	용산구	이촌1동	1,468	1,268	26	143	*	403	693	31	169
2020	용산구	이촌2동	228	166	8	31	*	55	71	14	48
2020	용산구	이태원1동	2,174	2,101	144	69	57	147	1,684	33	40
2020	용산구	이태원2동	1,690	1,609	330	109	78	148	944	25	56
2020	용산구	서빙고동	859	779	39	72	8	188	472	21	59
2020	용산구	보광동	1,985	1,791	162	118	92	150	1,269	110	84
2020	용산구	청파동	1,093	932	133	91	211	164	333	96	65
2020	용산구	원효로1동	702	608	49	69	34	135	321	36	58
